Sequence,Overlap,Failures,FPS,F2O,Frames
ball,0.4,0,604.887126253608,4.69289712774274,602
basketball,0.46,5,290.857331069059,1.32195163515117,725
bicycle,0.49,0,1327.93014401427,1.36027854659352,271
bolt,0.63,3,451.449798782376,0.845643814503637,350
car,0.4,0,1219.36467229574,1.1554506654741,252
david,0.69,1,202.343346175566,1.30421324727492,770
diving,0.32,2,279.769949896907,0.749204273783657,219
drunk,0.38,0,182.446752689054,1.19978546515077,1210
fernando,0.43,5,146.730424050926,1.31686570803083,292
fish1,0.37,13,912.091912087728,1.53327539189198,436
fish2,0.25,5,344.862494423796,1.94194079223549,310
gymnastics,0.58,3,416.521621898976,0.711258462675386,207
hand1,0.41,7,535.315463157572,0.888216564717074,244
hand2,0.43,14,819.672131147541,1.93958847431211,267
jogging,0.72,1,454.714440812324,1.03367931089829,307
motocross,0.49,1,168.211511616338,1.03099495786176,164
polarbear,0.5,0,638.044659686584,0.917943192103788,371
skating,0.5,2,459.159485603628,0.733247542719931,400
sphere,0.73,1,215.423462508815,0.904564270680254,201
sunshade,0.74,2,854.102422770768,1.07492891871499,172
surfing,0.41,0,1410.86768362543,1.80256088780129,282
torus,0.59,6,834.310382423861,1.06735522766936,264
trellis,0.65,3,549.167369613769,2.17700003294069,569
tunnel,0.33,0,522.357770053965,1.42267999902628,731
woman,0.77,1,638.372268338767,1.17942794939487,597
