Sequence,Overlap,Failures,FPS,F2O,Frames
ball,0.40,0,604.89,4.69,602
basketball,0.46,5,290.86,1.32,725
bicycle,0.49,0,1327.93,1.36,271
bolt,0.63,3,451.45,0.85,350
car,0.40,0,1219.36,1.16,252
david,0.69,1,202.34,1.30,770
diving,0.32,2,279.77,0.75,219
drunk,0.38,0,182.45,1.20,1210
fernando,0.43,5,146.73,1.32,292
fish1,0.37,13,912.09,1.53,436
fish2,0.25,5,344.86,1.94,310
gymnastics,0.58,3,416.52,0.71,207
hand1,0.41,7,535.32,0.89,244
hand2,0.43,14,819.67,1.94,267
jogging,0.72,1,454.71,1.03,307
motocross,0.49,1,168.21,1.03,164
polarbear,0.50,0,638.04,0.92,371
skating,0.50,2,459.16,0.73,400
sphere,0.73,1,215.42,0.90,201
sunshade,0.74,2,854.10,1.07,172
surfing,0.41,0,1410.87,1.80,282
torus,0.59,6,834.31,1.07,264
trellis,0.65,3,549.17,2.18,569
tunnel,0.33,0,522.36,1.42,731
woman,0.77,1,638.37,1.18,597
Summary,0.51,3.00,579.16,1.37,408.52
